viewDate,areaMunKm,areaUcKm,uc,uf,municipio
9/29/2020,0.09,0,,PA,Ourilandia do Norte
9/29/2020,0.09,0,,PA,Ourilandia do Norte
6/10/2020,0.22,0,,PA,Itaituba
6/10/2020,0.02,0,,AM,Maues
6/10/2020,0.04,0,,PA,Itaituba
6/10/2020,0,0,,PA,Jacareacanga
6/10/2020,0.15,0,,PA,Itaituba
6/10/2020,0.07,0,,PA,Itaituba
6/10/2020,0.12,0,,PA,Itaituba
6/10/2020,0.08,0,,PA,Jacareacanga
10/1/2020,0,0,,PA,Itaituba
10/1/2020,0,0,,PA,Itaituba
10/1/2020,0,0,,PA,Itaituba
10/1/2020,0.08,0,,PA,Itaituba
8/22/2020,0.07,0,,PA,Itaituba
8/22/2020,0.09,0,,PA,Itaituba
6/10/2020,0.08,0,,PA,Jacareacanga
10/1/2020,0.07,0,,RO,Vilhena
6/10/2020,0.25,0,,PA,Jacareacanga
6/10/2020,0.07,0,,PA,Jacareacanga
6/10/2020,0.08,0,,PA,Jacareacanga
6/10/2020,0.11,0,,MT,Pontes E Lacerda
6/10/2020,0.01,0,,MT,Vila Bela da Santissima Trindade
6/9/2020,0.09,0,,AM,Jutai
6/8/2020,0.08,0,,PA,Cumaru do Norte
10/4/2020,0.05,0,,PA,Itaituba
6/8/2020,0.09,0,,PA,Sao Felix do Xingu
6/8/2020,0.09,0,,PA,Sao Felix do Xingu
6/8/2020,0.18,0,,PA,Sao Felix do Xingu
6/8/2020,0.1,0,,PA,Sao Felix do Xingu
6/7/2020,0.09,0.09,FLORESTA NACIONAL DO CREPORI,PA,Jacareacanga
6/7/2020,0.43,0,,PA,Jacareacanga
6/7/2020,0.14,0,,PA,Jacareacanga
6/5/2020,0.21,0,,PA,Itaituba
6/4/2020,0.14,0,,RO,Vilhena
6/3/2020,0.14,0,,MA,Godofredo Viana
6/3/2020,0,0,,MA,Candido Mendes
6/3/2020,0.06,0,,MA,Candido Mendes
6/2/2020,0.1,0,,PA,Sao Felix do Xingu
6/2/2020,0.09,0,,PA,Ourilandia do Norte
6/2/2020,0.09,0,,PA,Cumaru do Norte
6/2/2020,0.06,0,,PA,Sao Felix do Xingu
10/7/2020,0.11,0,,MT,Alta Floresta
10/7/2020,0.07,0,,MT,Novo Mundo
5/30/2020,0.08,0,,PA,Almeirim
5/28/2020,0.1,0,,PA,Ourilandia do Norte
5/28/2020,0.1,0,,PA,Ourilandia do Norte
5/28/2020,0.07,0,,PA,Cumaru do Norte
5/27/2020,0.06,0,,MT,Terra Nova do Norte
5/27/2020,0.07,0,,MT,Nova Ubirata
5/27/2020,0.07,0,,MT,Aripuana
5/27/2020,0.09,0,,RO,Vilhena
5/25/2020,0.1,0,,PA,Anapu
5/24/2020,0.11,0,,AP,Pedra Branca do Amapari
5/24/2020,0.18,0,,AP,Pedra Branca do Amapari
5/23/2020,0.07,0,,AM,Jutai
5/23/2020,0.09,0,,AM,Jutai
